-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 03/01/2024 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
LAT,LON,YEAR,DOY,PS,PRECTOTCORR
42.25,-97.25,2024,1,96.78,0.03
42.25,-96.75,2024,1,97.47,0.01
42.25,-96.25,2024,1,98.03,0.02
42.25,-95.75,2024,1,97.88,0.02
42.25,-95.25,2024,1,97.86,0.01
42.75,-97.25,2024,1,97.15,0.06
42.75,-96.75,2024,1,97.59,0.02
42.75,-96.25,2024,1,97.74,0.03
42.75,-95.75,2024,1,97.58,0.03
42.75,-95.25,2024,1,97.67,0.02
43.25,-97.25,2024,1,97.27,0.1
43.25,-96.75,2024,1,97.33,0.04
43.25,-96.25,2024,1,97.28,0.03
43.25,-95.75,2024,1,97.17,0.02
43.25,-95.25,2024,1,97.37,0.01
43.75,-97.25,2024,1,96.79,0.13
43.75,-96.75,2024,1,96.63,0.04
43.75,-96.25,2024,1,96.67,0.02
43.75,-95.75,2024,1,96.85,0.01
43.75,-95.25,2024,1,97.32,0.01
42.25,-97.25,2024,2,96.49,0.04
42.25,-96.75,2024,2,97.12,0.07
42.25,-96.25,2024,2,97.62,0.1
42.25,-95.75,2024,2,97.44,0.12
42.25,-95.25,2024,2,97.38,0.1
42.75,-97.25,2024,2,96.9,0.09
42.75,-96.75,2024,2,97.27,0.1
42.75,-96.25,2024,2,97.36,0.11
42.75,-95.75,2024,2,97.15,0.11
42.75,-95.25,2024,2,97.21,0.08
43.25,-97.25,2024,2,97.03,0.12
43.25,-96.75,2024,2,97.03,0.11
43.25,-96.25,2024,2,96.93,0.09
43.25,-95.75,2024,2,96.77,0.08
43.25,-95.25,2024,2,96.93,0.07
43.75,-97.25,2024,2,96.57,0.14
43.75,-96.75,2024,2,96.36,0.12
43.75,-96.25,2024,2,96.35,0.07
43.75,-95.75,2024,2,96.48,0.07
43.75,-95.25,2024,2,96.91,0.08
42.25,-97.25,2024,3,96.63,0.12
42.25,-96.75,2024,3,97.27,0.1
42.25,-96.25,2024,3,97.77,0.11
42.25,-95.75,2024,3,97.59,0.09
42.25,-95.25,2024,3,97.54,0.07
42.75,-97.25,2024,3,97.07,0.14
42.75,-96.75,2024,3,97.45,0.08
42.75,-96.25,2024,3,97.54,0.07
42.75,-95.75,2024,3,97.34,0.06
42.75,-95.25,2024,3,97.4,0.04
43.25,-97.25,2024,3,97.23,0.15
43.25,-96.75,2024,3,97.23,0.07
43.25,-96.25,2024,3,97.15,0.04
43.25,-95.75,2024,3,96.99,0.03
43.25,-95.25,2024,3,97.15,0.02
43.75,-97.25,2024,3,96.8,0.12
43.75,-96.75,2024,3,96.6,0.05
43.75,-96.25,2024,3,96.6,0.02
43.75,-95.75,2024,3,96.74,0.01
43.75,-95.25,2024,3,97.18,0.01
42.25,-97.25,2024,4,96.7,0.21
42.25,-96.75,2024,4,97.39,0.18
42.25,-96.25,2024,4,97.95,0.13
42.25,-95.75,2024,4,97.8,0.1
42.25,-95.25,2024,4,97.79,0.08
42.75,-97.25,2024,4,97.11,0.17
42.75,-96.75,2024,4,97.55,0.15
42.75,-96.25,2024,4,97.7,0.11
42.75,-95.75,2024,4,97.54,0.1
42.75,-95.25,2024,4,97.65,0.08
43.25,-97.25,2024,4,97.26,0.2
43.25,-96.75,2024,4,97.33,0.17
43.25,-96.25,2024,4,97.29,0.12
43.25,-95.75,2024,4,97.18,0.11
43.25,-95.25,2024,4,97.39,0.08
43.75,-97.25,2024,4,96.82,0.23
43.75,-96.75,2024,4,96.68,0.18
43.75,-96.25,2024,4,96.73,0.15
43.75,-95.75,2024,4,96.91,0.11
43.75,-95.25,2024,4,97.4,0.07
42.25,-97.25,2024,5,95.88,0.09
42.25,-96.75,2024,5,96.56,0.09
42.25,-96.25,2024,5,97.11,0.09
42.25,-95.75,2024,5,96.97,0.09
42.25,-95.25,2024,5,96.97,0.13
42.75,-97.25,2024,5,96.26,0.05
42.75,-96.75,2024,5,96.7,0.05
42.75,-96.25,2024,5,96.86,0.07
42.75,-95.75,2024,5,96.71,0.05
42.75,-95.25,2024,5,96.83,0.03
43.25,-97.25,2024,5,96.38,0.08
43.25,-96.75,2024,5,96.46,0.06
43.25,-96.25,2024,5,96.44,0.06
43.25,-95.75,2024,5,96.35,0.04
43.25,-95.25,2024,5,96.57,0.02
43.75,-97.25,2024,5,95.92,0.25
43.75,-96.75,2024,5,95.79,0.12
43.75,-96.25,2024,5,95.86,0.08
43.75,-95.75,2024,5,96.06,0.04
43.75,-95.25,2024,5,96.55,0.03
42.25,-97.25,2024,6,95.33,1.2
42.25,-96.75,2024,6,95.94,1.19
42.25,-96.25,2024,6,96.43,1.56
42.25,-95.75,2024,6,96.24,1.52
42.25,-95.25,2024,6,96.2,1.22
42.75,-97.25,2024,6,95.74,1.47
42.75,-96.75,2024,6,96.1,1.48
42.75,-96.25,2024,6,96.18,1.75
42.75,-95.75,2024,6,95.98,1.64
42.75,-95.25,2024,6,96.05,1.28
43.25,-97.25,2024,6,95.87,1.6
43.25,-96.75,2024,6,95.87,1.66
43.25,-96.25,2024,6,95.78,1.85
43.25,-95.75,2024,6,95.63,1.7
43.25,-95.25,2024,6,95.81,1.36
43.75,-97.25,2024,6,95.44,1.79
43.75,-96.75,2024,6,95.24,1.67
43.75,-96.25,2024,6,95.23,1.84
